id,Speicherkapazität,Arbeitsspeicher,CPU-Taktfrequenz,Auflösung Hauptkamera,avg_price,brand_Acer,brand_Archos,brand_Asus,brand_Dell,brand_Getac,brand_HP,brand_Huawei Technologies,brand_Infocus,brand_Lenovo,brand_Medion,brand_Microsoft,brand_Odys,brand_Port Designs,brand_Samsung,brand_Sony,brand_TrekStor,brand_Verico,brand_Wortmann,brand_Xoro,Betriebssystem_Android,Betriebssystem_Chrome OS,Betriebssystem_Windows 10 Home,Betriebssystem_Windows 10 Home 32-Bit,Betriebssystem_Windows 10 Home 64-Bit,Betriebssystem_Windows 10 Professional,Betriebssystem_Windows 10 Professional 32-Bit,Betriebssystem_Windows 10 Professional 64-Bit,Betriebssystem_Windows 7 Professional,Betriebssystem_Windows 8.1,Betriebssystem_Windows 8.1 32-Bit,Betriebssystem_Windows 8.1 Pro 32-Bit,Betriebssystem_Windows 8.1 Pro 64-Bit,"Bilddiagonale_18 cm (7"")","Bilddiagonale_20 cm (8"")","Bilddiagonale_25 cm (10"")","Bilddiagonale_28 cm (11"")","Bilddiagonale_30 cm (12"")","Bilddiagonale_33 cm (13"")","Bilddiagonale_36 cm (14"")","Bilddiagonale_38 cm (15"")",Auflösung_1024x600,Auflösung_1280x800,Auflösung_1366x768,Auflösung_1900x1200,Auflösung_1920x1080,Auflösung_1920x1200,Auflösung_2048x1536,Auflösung_2160x1440,Auflösung_2560x1440,Auflösung_2736x1824,Auflösung_2880x1620,Auflösung_2880x1920,Auflösung_3000x2000,Auflösung_3200x1800,Auflösung_8,Akkukapazität_4000-4999 mAh,Akkukapazität_6000-6999 mAh,Akkukapazität_8000-8999 mAh,Grafik-Controller-Serie_AMD Radeon R5,Grafik-Controller-Serie_Intel HD Graphics 400,Grafik-Controller-Serie_Intel HD Graphics 500,Grafik-Controller-Serie_Intel HD Graphics 5000,Grafik-Controller-Serie_Intel HD Graphics 600,Grafik-Controller-Serie_Intel HD Graphics 800,Grafik-Controller-Serie_Intel Iris Graphics 500,Grafik-Controller-Serie_NVIDIA GeForce GTX 900
160,256,8.0,2.6,,2432.4316,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
161,256,8.0,2.6,,2430.6084,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
162,32,2.0,,,179.11706999999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163,32,2.0,1.4,,230.90708999999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
164,32,2.0,1.4,,292.28098,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165,64,4.0,1.4,,322.38666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166,64,4.0,1.4,,300.05457,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
167,128,4.0,1.4,,348.2639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
168,128,4.0,1.4,,316.15945,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
169,32,2.0,1.3,,561.9071700000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,128,2.0,1.4,,255.2064,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,256,,2.5,,1265.0076,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
172,64,2.0,1.3,,446.41832999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
